name,seller,price,number-of-items-sold,ram,rom,screen-size,color,front-camera,rear-camera,number_of_sims,date,os
Galaxy J6 Plus Dual SIM 2018 - 32 Go HDD - 3 Go RAM - 6'' - Rouge,Samsung,106200.0,49.0,3.0,64.0,3.5,rouge,5.0,16.0,2,Sun May 26 21:20:19 2019,android
"Moto G 16 Go HDD - 1Go Ram - 4,5'' - Noir",MOTOROLA,35000.0,1001.0,4.0,16.0,6.2,noir,2.0,5.0,1,Sun May 26 21:20:22 2019,android
Spark 2 Dual SIM 16 Go HDD - 2 Go RAM - Noir - 12 Mois,Tecno,69200.0,99.0,6.0,32.0,5.0,noir,5.0,12.0,2,Sun May 26 21:20:24 2019,android
"Redmi Note 5 Dual SIM - 64Go HDD - 4Go RAM - 5,99"" - Or + Pochette Offert - 12 Mois de Garantie",Xiaomi,114900.0,10001.0,4.0,64.0,6.2,or,0.0,24.0,2,Sun May 26 21:20:26 2019,android
Galaxy S8 Plus 64Go HDD - Or - 12 Mois,Samsung,249000.0,10001.0,1.0,32.0,5.8,or,16.0,12.0,1,Sun May 26 21:20:27 2019,android
V18 Pro Dual SIM 16Go HDD -RAM 1 Go -Gris - 12 Mois,X-tigi,36450.0,49.0,2.0,32.0,5.7,gris,7.0,12.0,2,Sun May 26 21:20:29 2019,android
Camon 11 Dual SIM - 32 Go HDD - Noir - 12 Mois,Tecno,105000.0,10001.0,6.0,128.0,5.4,noir,2.0,16.0,2,Sun May 26 21:20:31 2019,android
Redmi Note 6 Pro Dual SIM - 64Go HDD - 4Go RAM - 12+5MP - Bleu + Pochette + Protège Ecran Offerts,Xiaomi,144900.0,99.0,3.0,32.0,5.5,bleu,5.0,12.0,2,Sun May 26 21:20:33 2019,android
Galaxy J6 Dual SIM - 32Go HDD - 3Go RAM - 13MP - Or - 12 Mois + Pochette + Protège Ecran Offerts,Samsung,99900.0,1001.0,3.0,8.0,5.5,or,0.0,8.0,2,Sun May 26 21:20:34 2019,android
Galaxy S7 Edge 32Go HDD - Or,Samsung,170000.0,9.0,2.0,128.0,5.8,or,0.0,8.0,1,Sun May 26 21:20:36 2019,android
Mi A2 Dual SIM - 128Go HDD - 6Go RAM - 20+12MP - Blanc Et Or + Pochette + Protège Ecran Offerts - 12 Mois,Xiaomi,179900.0,101.0,1.0,128.0,6.2,blanc et or,8.0,13.0,2,Sun May 26 21:20:37 2019,android
"Galaxy S6 Edge Plus  - 32Go HDD - 4Go RAM - 5,7"" - Bleu",Samsung,145000.0,1001.0,2.0,32.0,5.5,bleu,8.0,12.0,1,Sun May 26 21:20:39 2019,android
Rise 53 Dual SIM 8Go HDD - Blanc - 12 Mois + 1 Carte SIM et 1 Forfait Internet Offerts,Orange,34900.0,49.0,0.512,64.0,6.2,blanc,5.0,13.0,2,Sun May 26 21:20:41 2019,android
"iPhone 6s Plus - 128Go - 2Go RAM - 5,5"" - Gris - 6 Mois",Apple,242650.0,101.0,6.0,16.0,5.3,gris,2.0,15.0,1,Sun May 26 21:20:42 2019,ios
"Galaxy A9 2018 Dual SIM - 128Go HDD - 6Go RAM - 6.3"" - Bleu",Samsung,235000.0,10001.0,1.0,16.0,4.0,bleu,5.0,8.0,2,Sun May 26 21:20:44 2019,android
Note 5 Dual SIM 32 Go HDD - Bleu,Infinix,119000.0,99.0,2.0,64.0,5.0,bleu,8.0,12.0,2,Sun May 26 21:20:46 2019,android
iPhone 8 Plus 64Go HDD - Noir,Apple,650000.0,99.0,4.0,16.0,6.2,noir,13.0,8.0,1,Sun May 26 21:20:47 2019,ios
"Galaxy S5 - 16Go HDD - 2Go RAM - 5,1"" - Blanc - 12 Mois + Pochette + Protège Ecran Offerts",Samsung,69900.0,101.0,4.0,64.0,5.0,blanc,0.0,20.0,1,Sun May 26 21:20:50 2019,android
E2C Dual SIM - 16Go HDD - Or - 12 Mois de Garantie,COOLPAD,39900.0,1001.0,2.0,8.0,6.3,or,13.0,20.0,2,Sun May 26 21:20:51 2019,android
iPhone 6S 64 Go HDD - Or + Pochette et Ecran de Protection,Apple,205000.0,99.0,4.0,32.0,5.5,or,5.0,13.0,1,Sun May 26 21:20:53 2019,ios
iPhone 4S 16 Go HDD - Noir,Apple,55500.0,99.0,1.0,64.0,5.1,noir,2.0,18.0,1,Sun May 26 21:20:54 2019,ios
